red: 86.37603341186549 , green: 76.25305204540587 , blue: 48.52972799314628 
red: 85.57088879029874 , green: 76.3315587104407 , blue: 48.01048506359065 
red: 87.05867293625914 , green: 75.89604377104376 , blue: 48.889739347497965 
red: 87.02716242888657 , green: 76.19705096946477 , blue: 48.85615929409033 
red: 87.97455627705628 , green: 76.47458874458874 , blue: 49.502326839826836 
red: 87.05784964660526 , green: 76.79974298565003 , blue: 48.47496251874063 
red: 87.48147932527243 , green: 76.87868189281983 , blue: 48.8340737423496 
red: 88.82848003848004 , green: 77.33167388167388 , blue: 49.493958633958634 
red: 87.61820420958352 , green: 77.65219435736677 , blue: 49.18978952082401 
red: 88.78684315684316 , green: 77.6954995004995 , blue: 49.775680985680985 
red: 88.09460927004031 , green: 78.00062695924765 , blue: 49.68918495297805 
red: 88.14068331094194 , green: 77.9373880429915 , blue: 49.80104617604617 
red: 88.5554660856385 , green: 77.61348995831754 , blue: 49.84402235695339 
red: 89.40901909150756 , green: 77.83114987930657 , blue: 50.14421220100944 
red: 88.31400830969795 , green: 78.67004403642335 , blue: 49.9592258794845 
red: 88.84317291903498 , green: 79.20114942528735 , blue: 50.760742705570294 
red: 89.58930150309462 , green: 79.80335038524694 , blue: 51.511915287777356 
red: 90.5558474858475 , green: 80.19957375957375 , blue: 52.646017316017314 
red: 91.04831973581975 , green: 80.6802836052836 , blue: 53.21908184408184 
red: 91.81706487956488 , green: 81.29942372442372 , blue: 53.84723517223517 
red: 93.21737060041409 , green: 82.33478260869566 , blue: 54.952567287784674 
red: 91.25886067955034 , green: 82.02801566249842 , blue: 53.80197675887331 
red: 91.9839840804357 , green: 82.87105990783411 , blue: 54.51372015081692 
red: 92.24989648033126 , green: 83.13527950310558 , blue: 54.867826086956526 
red: 91.93693019943021 , green: 82.75462315462315 , blue: 54.30906500906501 
red: 93.11590650558392 , green: 83.2071382903641 , blue: 55.31268319010255 
red: 93.09422558922559 , green: 83.83796296296296 , blue: 55.41578282828283 
red: 94.11761274470952 , green: 84.03290401838788 , blue: 56.02432115399857 
red: 92.61407523510972 , green: 85.16647559337214 , blue: 55.96743394536498 
red: 92.21279761904762 , green: 84.39682539682539 , blue: 55.473710317460316 
red: 92.22880425880425 , green: 83.99669123669123 , blue: 55.562538902538904 
red: 93.22603237342368 , green: 84.61835686053078 , blue: 56.15573875399963 
red: 92.55104832104831 , green: 83.71102375102376 , blue: 55.89712530712531 
red: 91.85811262767784 , green: 83.42149658019224 , blue: 55.174630148543194 
